AAJM01,Bacillus thuringiensis serovar israelensis ATCC 35646,Bacillus thuringiensis
NC_011294.1,Salmonella enterica subsp. enterica serovar Enteritidis str. P125109,Salmonella enterica
NC_011353.1,Escherichia coli O157:H7 str. EC4115,Escherichia coli
NC_012660.1 ,Pseudomonas fluorescens SBW25,Pseudomonas fluorescens
NC_012759.1,Escherichia coli BW2952,Escherichia coli
NC_012917.1,Pectobacterium carotovorum subsp. carotovorum PC1,Pectobacterium carotovorum
NC_012967.1,Escherichia coli B str. REL606,Escherichia coli
NC_012971.2,Escherichia coli BL21/DE3,Escherichia coli
NC_013008.1,Escherichia coli O157:H7 str. TW14359,Escherichia coli
NC_014010.1 ,Candidatus Puniceispirillum marinum IMCC1322,Candidatus Puniceispirillum marinum
NC_014230.1 ,Croceibacter atlanticus HTCC2559,Croceibacter atlanticus
NC_014727.1,Lactobacillus delbrueckii subsp. bulgaricus ND02,Lactobacillus delbrueckii
NC_014802.1,Campylobacter jejuni subsp. jejuni ICDCCJ07001,Campylobacter jejuni
NC_015183.1 ,Agrobacterium sp. H13-3,NA
NC_015948.1 ,Haloarcula hispanica ATCC 33960,Haloarcula hispanica
NC_016810.1,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,Salmonella enterica
NC_016810.1 ,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,Salmonella enterica
NC_016832.1,Salmonella enterica subsp. enterica serovar Typhi str. P-stx-12,Salmonella enterica
NC_016854.1,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,Salmonella enterica
NC_016856.1,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,Salmonella enterica
NC_016856.1 ,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,Salmonella enterica
NC_016857.1,Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74,Salmonella enterica
NC_016860.1,Salmonella enterica subsp. enterica serovar Typhimurium str. T000240,Salmonella enterica
NC_016863.1,Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1,Salmonella enterica
NC_017046.1,Salmonella enterica subsp. enterica serovar Typhimurium str. 798,Salmonella enterica
NC_017196.2,Bacillus subtilis subsp. natto BEST195,Bacillus subtilis
NC_017196.2 ,Bacillus subtilis subsp. natto BEST195,Bacillus subtilis
NC_017279.1,Campylobacter jejuni subsp. jejuni IA3902,Campylobacter jejuni
NC_017280.1,Campylobacter jejuni subsp. jejuni M1,Campylobacter jejuni
NC_017281.1,Campylobacter jejuni subsp. jejuni S3,Campylobacter jejuni
NC_017469.1,Lactobacillus delbrueckii subsp. bulgaricus 2038,Lactobacillus delbrueckii
NC_017492.1,Lactococcus lactis subsp. cremoris A76,Lactococcus lactis
NC_017731.1 ,Providencia stuartii MRSN 2154,Providencia stuartii
NC_017949.1,Lactococcus lactis subsp. cremoris NZ9000,Lactococcus lactis
NC_018521.1,Campylobacter jejuni subsp. jejuni NCTC 11168-BN148,Campylobacter jejuni
NC_018525.1,Pectobacterium carotovorum subsp. carotovorum PCC21,Pectobacterium carotovorum
NC_018650.1,Escherichia coli O104:H4 str. 2009EL-2050,Escherichia coli
NC_018658.1,Escherichia coli O104:H4 str. 2011C-3493,Escherichia coli
NC_018661.1,Escherichia coli O104:H4 str. 2009EL-2071,Escherichia coli
NC_018679.1 ,Alteromonas macleodii str. 'Balearic Sea AD45',Alteromonas macleodii
NC_019435.1,Lactococcus lactis subsp. cremoris UC509.9,Lactococcus lactis
NC_020528.1 ,Sinorhizobium meliloti 2011,Sinorhizobium meliloti
NC_021058.1 ,Sulfolobus islandicus LAL14/1,Sulfolobus islandicus
NC_021151.1,Salmonella enterica subsp. enterica serovar Typhimurium str. U288,Salmonella enterica
NC_021176.1,Salmonella enterica subsp. enterica serovar Typhi str. Ty21a,Salmonella enterica
NC_021814.1,Salmonella enterica subsp. enterica serovar Typhimurium var. 5- str. CFSAN001921,Salmonella enterica
NC_021902.1,Salmonella enterica subsp. enterica serovar Newport str. USMARC-S3124.1,Salmonella enterica
NC_022351.2,Campylobacter jejuni subsp. jejuni 00-2538,Campylobacter jejuni
NC_022352.2,Campylobacter jejuni subsp. jejuni 00-2426,Campylobacter jejuni
NC_022353.2,Campylobacter jejuni subsp. jejuni 00-2544,Campylobacter jejuni
NC_022362.2,Campylobacter jejuni subsp. jejuni 00-2425,Campylobacter jejuni
NC_022369.1,Lactococcus lactis subsp. cremoris KW2,Lactococcus lactis
NC_022544.1,Salmonella enterica subsp. enterica serovar Typhimurium str. DT2,Salmonella enterica
NC_022569.1,Salmonella enterica subsp. enterica serovar Typhimurium str. DT104,Salmonella enterica
NC_022569.1 ,Salmonella enterica subsp. enterica serovar Typhimurium str. DT104,Salmonella enterica
NC_022806.1,Pseudomonas aeruginosa PA1R,Pseudomonas aeruginosa
NC_022808.1,Pseudomonas aeruginosa PA1,Pseudomonas aeruginosa
NZ_AP012544.1 ,Lactobacillus casei subsp. casei ATCC 393,Lactobacillus casei
NZ_AP014565.1,Salmonella enterica subsp. enterica serovar Typhimurium str. L-3553,Salmonella enterica
NZ_CM000662.1,Escherichia coli O157:H7 str. TW14588,Escherichia coli
NZ_CM000854.1,Campylobacter jejuni subsp. jejuni 1336,Campylobacter jejuni
NZ_CM000855.1,Campylobacter jejuni subsp. jejuni 414,Campylobacter jejuni
NZ_CM001871.1,Xanthomonas campestris pv. campestris str. CN14,Xanthomonas campestris
NZ_CM002751.1,Pseudomonas syringae pv. actinidiae ICMP 18884,Pseudomonas syringae
NZ_CM002753.1,Pseudomonas syringae pv. actinidiae ICMP 9617,Pseudomonas syringae
NZ_CP004379.1,Burkholderia pseudomallei 1026b,Burkholderia pseudomallei
NZ_CP005081.1,Campylobacter jejuni subsp. jejuni R14,Campylobacter jejuni
NZ_CP005388.1,Campylobacter jejuni subsp. jejuni CG8421,Campylobacter jejuni
NZ_CP005998.1,Escherichia coli B7A,Escherichia coli
NZ_CP006685.1,Campylobacter jejuni subsp. jejuni NCTC 11168-K12E5,Campylobacter jejuni
NZ_CP006686.1,Campylobacter jejuni subsp. jejuni NCTC 11168-Kf1,Campylobacter jejuni
NZ_CP006687.1,Campylobacter jejuni subsp. jejuni NCTC 11168-mcK12E5,Campylobacter jejuni
NZ_CP006688.1,Campylobacter jejuni subsp. jejuni NCTC 11168-mfK12E5,Campylobacter jejuni
NZ_CP006689.1,Campylobacter jejuni subsp. jejuni NCTC 11168-GSv,Campylobacter jejuni
NZ_CP006851.1,Campylobacter jejuni subsp. jejuni F38011,Campylobacter jejuni
NZ_CP006882.1 ,Synechococcus sp. WH 8109,NA
NZ_CP007175.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110354,Salmonella enterica
NZ_CP007211.1,Salmonella enterica subsp. enterica serovar Anatum str. CDC 06-0532,Salmonella enterica
NZ_CP007216.1,Salmonella enterica subsp. enterica serovar Newport str. USDA-ARS-USMARC-1927,Salmonella enterica
NZ_CP007235.1,Salmonella enterica subsp. enterica serovar Typhimurium str. USDA-ARS-USMARC-1899,Salmonella enterica
NZ_CP007245.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120008,Salmonella enterica
NZ_CP007246.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20100101,Salmonella enterica
NZ_CP007247.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110221,Salmonella enterica
NZ_CP007248.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20090698,Salmonella enterica
NZ_CP007249.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20090641,Salmonella enterica
NZ_CP007250.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110355,Salmonella enterica
NZ_CP007251.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110353,Salmonella enterica
NZ_CP007252.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111175,Salmonella enterica
NZ_CP007253.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111174,Salmonella enterica
NZ_CP007254.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111095,Salmonella enterica
NZ_CP007258.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110360,Salmonella enterica
NZ_CP007259.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110359,Salmonella enterica
NZ_CP007260.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110358,Salmonella enterica
NZ_CP007261.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110357,Salmonella enterica
NZ_CP007262.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110356,Salmonella enterica
NZ_CP007263.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110361,Salmonella enterica
NZ_CP007266.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110223,Salmonella enterica
NZ_CP007267.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120005,Salmonella enterica
NZ_CP007269.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121175,Salmonella enterica
NZ_CP007274.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20093266,Salmonella enterica
NZ_CP007277.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19930684,Salmonella enterica
NZ_CP007278.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19942384,Salmonella enterica
NZ_CP007279.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19943269,Salmonella enterica
NZ_CP007280.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19960848,Salmonella enterica
NZ_CP007281.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19961622,Salmonella enterica
NZ_CP007282.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19970510,Salmonella enterica
NZ_CP007283.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19970769,Salmonella enterica
NZ_CP007284.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19971331,Salmonella enterica
NZ_CP007285.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19980677,Salmonella enterica
NZ_CP007286.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19981522,Salmonella enterica
NZ_CP007288.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19981857,Salmonella enterica
NZ_CP007289.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19982831,Salmonella enterica
NZ_CP007290.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19983126,Salmonella enterica
NZ_CP007291.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19992322,Salmonella enterica
NZ_CP007293.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20083456,Salmonella enterica
NZ_CP007294.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20083636,Salmonella enterica
NZ_CP007297.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20090435,Salmonella enterica
NZ_CP007298.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20090530,Salmonella enterica
NZ_CP007300.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20090877,Salmonella enterica
NZ_CP007302.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20093421,Salmonella enterica
NZ_CP007303.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20093430,Salmonella enterica
NZ_CP007304.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20093538,Salmonella enterica
NZ_CP007305.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20093543,Salmonella enterica
NZ_CP007306.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20093784,Salmonella enterica
NZ_CP007307.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20093788,Salmonella enterica
NZ_CP007308.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20093950,Salmonella enterica
NZ_CP007309.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20093977,Salmonella enterica
NZ_CP007310.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094079,Salmonella enterica
NZ_CP007311.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094350,Salmonella enterica
NZ_CP007312.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094352,Salmonella enterica
NZ_CP007313.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094383,Salmonella enterica
NZ_CP007314.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094389,Salmonella enterica
NZ_CP007315.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094521,Salmonella enterica
NZ_CP007316.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094642,Salmonella enterica
NZ_CP007317.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094803,Salmonella enterica
NZ_CP007318.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20095309,Salmonella enterica
NZ_CP007320.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20090135,Salmonella enterica
NZ_CP007321.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20090193,Salmonella enterica
NZ_CP007322.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20090332,Salmonella enterica
NZ_CP007323.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110222,Salmonella enterica
NZ_CP007324.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111514,Salmonella enterica
NZ_CP007325.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111515,Salmonella enterica
NZ_CP007326.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111554,Salmonella enterica
NZ_CP007327.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111561,Salmonella enterica
NZ_CP007328.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111576,Salmonella enterica
NZ_CP007329.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120002,Salmonella enterica
NZ_CP007330.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120003,Salmonella enterica
NZ_CP007331.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120007,Salmonella enterica
NZ_CP007332.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120916,Salmonella enterica
NZ_CP007334.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20092320,Salmonella enterica
NZ_CP007336.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120581,Salmonella enterica
NZ_CP007337.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120590,Salmonella enterica
NZ_CP007338.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120597,Salmonella enterica
NZ_CP007340.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120686,Salmonella enterica
NZ_CP007341.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120687,Salmonella enterica
NZ_CP007343.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120722,Salmonella enterica
NZ_CP007345.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120219,Salmonella enterica
NZ_CP007346.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120229,Salmonella enterica
NZ_CP007347.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120240,Salmonella enterica
NZ_CP007348.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120356,Salmonella enterica
NZ_CP007349.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120469,Salmonella enterica
NZ_CP007350.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120496,Salmonella enterica
NZ_CP007351.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120497,Salmonella enterica
NZ_CP007355.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20100088,Salmonella enterica
NZ_CP007356.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20100089,Salmonella enterica
NZ_CP007358.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20100130,Salmonella enterica
NZ_CP007359.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20100134,Salmonella enterica
NZ_CP007360.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20100325,Salmonella enterica
NZ_CP007362.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120544,Salmonella enterica
NZ_CP007363.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120548,Salmonella enterica
NZ_CP007364.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120555,Salmonella enterica
NZ_CP007368.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121542,Salmonella enterica
NZ_CP007369.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121671,Salmonella enterica
NZ_CP007370.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121672,Salmonella enterica
NZ_CP007371.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121689,Salmonella enterica
NZ_CP007372.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20121703,Salmonella enterica
NZ_CP007373.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121744,Salmonella enterica
NZ_CP007374.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121746,Salmonella enterica
NZ_CP007375.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120925,Salmonella enterica
NZ_CP007376.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120927,Salmonella enterica
NZ_CP007377.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120963,Salmonella enterica
NZ_CP007378.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120968,Salmonella enterica
NZ_CP007379.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120969,Salmonella enterica
NZ_CP007380.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120970,Salmonella enterica
NZ_CP007381.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121812,Salmonella enterica
NZ_CP007382.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121825,Salmonella enterica
NZ_CP007383.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121826,Salmonella enterica
NZ_CP007384.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121969,Salmonella enterica
NZ_CP007385.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121970,Salmonella enterica
NZ_CP007386.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121976,Salmonella enterica
NZ_CP007387.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121986,Salmonella enterica
NZ_CP007388.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121989,Salmonella enterica
NZ_CP007395.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121748,Salmonella enterica
NZ_CP007396.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121750,Salmonella enterica
NZ_CP007397.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121751,Salmonella enterica
NZ_CP007398.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121753,Salmonella enterica
NZ_CP007400.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120734,Salmonella enterica
NZ_CP007401.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120738,Salmonella enterica
NZ_CP007402.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120765,Salmonella enterica
NZ_CP007403.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120773,Salmonella enterica
NZ_CP007404.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120774,Salmonella enterica
NZ_CP007405.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120775,Salmonella enterica
NZ_CP007406.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120776,Salmonella enterica
NZ_CP007407.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120917,Salmonella enterica
NZ_CP007408.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120918,Salmonella enterica
NZ_CP007411.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121990,Salmonella enterica
NZ_CP007412.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20122022,Salmonella enterica
NZ_CP007413.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20122026,Salmonella enterica
NZ_CP007414.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20122031,Salmonella enterica
NZ_CP007415.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20122033,Salmonella enterica
NZ_CP007416.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20122045,Salmonella enterica
NZ_CP007417.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20123395,Salmonella enterica
NZ_CP007418.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20130345,Salmonella enterica
NZ_CP007419.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20130346,Salmonella enterica
NZ_CP007420.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20100103,Salmonella enterica
NZ_CP007421.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20090884,Salmonella enterica
NZ_CP007422.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20090531,Salmonella enterica
NZ_CP007424.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20130348,Salmonella enterica
NZ_CP007429.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121765,Salmonella enterica
NZ_CP007430.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20090195,Salmonella enterica
NZ_CP007431.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094682,Salmonella enterica
NZ_CP007432.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20100131,Salmonella enterica
NZ_CP007433.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120051,Salmonella enterica
NZ_CP007434.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120200,Salmonella enterica
NZ_CP007463.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120929,Salmonella enterica
NZ_CP007464.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121747,Salmonella enterica
NZ_CP007465.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19940857,Salmonella enterica
NZ_CP007498.1,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111510,Salmonella enterica
NZ_CP007528.1,Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_0968,Salmonella enterica
NZ_CP007531.1,Salmonella enterica subsp. enterica serovar Anatum str. ATCC BAA-1592,Salmonella enterica
NZ_CP007592.1,Escherichia coli O157,Escherichia coli
NZ_CP007598.1,Salmonella enterica subsp. enterica serovar Enteritidis str. 77-1427,Salmonella enterica
NZ_CP007666.1,Bacillus anthracis Vollum,Bacillus anthracis
NZ_CP008749.1,Pseudomonas aeruginosa PAO1H2O,Pseudomonas aeruginosa
NZ_CP008805.1,Escherichia coli O157:H7 str. SS17,Escherichia coli
NZ_CP008928.1,Salmonella enterica subsp. enterica serovar Enteritidis,Salmonella enterica
NZ_CP008957.1,Escherichia coli O157:H7 str. EDL933,Escherichia coli
NZ_CP009102.1,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica
NZ_CP009273.1,Escherichia coli BW25113,Escherichia coli
NZ_CP009494.1 ,Mycobacterium smegmatis str. MC2 155,Mycobacterium smegmatis
NZ_CP009561.1,Salmonella enterica subsp. enterica serovar Newport str. CVM N18486,Salmonella enterica
NZ_CP009628.1,Bacillus cereus ATCC 4342,Bacillus cereus
NZ_CP009685.1,Escherichia coli K-12 subsr. MG1655,Escherichia coli
NZ_CP009789.1 ,Escherichia coli K-12,Escherichia coli
NZ_CP009840.1 ,Yersinia pestis A1122,Yersinia pestis
NZ_CP009887.1 ,Cellulophaga baltica NN016038,Cellulophaga baltica
NZ_CP009976.1 ,Cellulophaga baltica #18,Cellulophaga baltica
NZ_CP010279.1,Salmonella enterica subsp. enterica serovar Newport str. CVM 22425,Salmonella enterica
NZ_CP010280.1,Salmonella enterica subsp. enterica serovar Newport str. CVM 22462,Salmonella enterica
NZ_CP010281.1,Salmonella enterica subsp. enterica serovar Newport str. CVM 22513,Salmonella enterica
NZ_CP010282.1,Salmonella enterica subsp. enterica serovar Newport str. CVM 21538,Salmonella enterica
NZ_CP010283.1,Salmonella enterica subsp. enterica serovar Newport str. CVM 21550,Salmonella enterica
NZ_CP010284.1,Salmonella enterica subsp. enterica serovar Newport str. CVM N1543,Salmonella enterica
NZ_CP010304.1,Escherichia coli O157:H7 str. SS52,Escherichia coli
NZ_CP010906.1,Campylobacter jejuni subsp. jejuni,Campylobacter jejuni
